




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (8504)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (FDR)
negative regulation of protein modification process (GO:0031400)	558	311	230.41	+	1.35	2.17E-05	9.76E-04
positive regulation of kinase activity (GO:0033674)	614	338	253.53	+	1.33	2.18E-05	9.73E-04
regulation of immune response (GO:0050776)	1183	384	488.48	-	.79	2.06E-05	9.29E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	434	252	179.21	+	1.41	2.06E-05	9.28E-04
sensory perception of bitter taste (GO:0050913)	41	1	16.93	-	.06	2.00E-05	9.07E-04
positive regulation of immune system process (GO:0002684)	1069	342	441.41	-	.77	2.00E-05	9.05E-04
nitrogen compound transport (GO:0071705)	1708	839	705.26	+	1.19	1.98E-05	9.03E-04
cytoskeleton organization (GO:0007010)	1212	616	500.45	+	1.23	1.87E-05	8.54E-04
positive regulation of cell development (GO:0010720)	300	186	123.87	+	1.50	1.79E-05	8.20E-04
regulation of cell cycle process (GO:0010564)	792	423	327.03	+	1.29	1.78E-05	8.17E-04
mitotic cell cycle (GO:0000278)	750	403	309.69	+	1.30	1.71E-05	7.90E-04
positive regulation of catabolic process (GO:0009896)	519	294	214.30	+	1.37	1.63E-05	7.52E-04
regulation of secretion by cell (GO:1903530)	581	324	239.90	+	1.35	1.60E-05	7.41E-04
positive regulation of phosphorus metabolic process (GO:0010562)	998	519	412.09	+	1.26	1.53E-05	7.15E-04
positive regulation of phosphate metabolic process (GO:0045937)	998	519	412.09	+	1.26	1.53E-05	7.13E-04
negative regulation of cellular component organization (GO:0051129)	724	392	298.95	+	1.31	1.45E-05	6.80E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	296	215.54	+	1.37	1.44E-05	6.77E-04
mitotic cell cycle process (GO:1903047)	675	369	278.72	+	1.32	1.43E-05	6.75E-04
immune response-regulating signaling pathway (GO:0002764)	495	136	204.39	-	.67	1.37E-05	6.47E-04
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	135	203.15	-	.66	1.29E-05	6.12E-04
histone modification (GO:0016570)	363	219	149.89	+	1.46	1.15E-05	5.48E-04
cellular macromolecule biosynthetic process (GO:0034645)	1639	812	676.77	+	1.20	1.14E-05	5.43E-04
positive regulation of phosphorylation (GO:0042327)	921	485	380.30	+	1.28	1.12E-05	5.36E-04
positive regulation of cell projection organization (GO:0031346)	353	214	145.76	+	1.47	1.11E-05	5.30E-04
telencephalon development (GO:0021537)	254	164	104.88	+	1.56	1.06E-05	5.10E-04
regulation of immune effector process (GO:0002697)	435	115	179.62	-	.64	1.01E-05	4.86E-04
regulation of establishment of protein localization (GO:0070201)	581	326	239.90	+	1.36	9.79E-06	4.73E-04
negative regulation of multicellular organismal process (GO:0051241)	1014	529	418.70	+	1.26	9.31E-06	4.52E-04
regulation of protein transport (GO:0051223)	556	314	229.58	+	1.37	9.20E-06	4.47E-04
intracellular transport (GO:0046907)	1464	735	604.51	+	1.22	8.95E-06	4.36E-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	775	641.26	+	1.21	8.79E-06	4.30E-04
cell cycle (GO:0007049)	1316	668	543.40	+	1.23	8.50E-06	4.17E-04
regulation of cell migration (GO:0030334)	892	473	368.32	+	1.28	8.43E-06	4.16E-04
kidney development (GO:0001822)	282	179	116.44	+	1.54	8.45E-06	4.16E-04
regulation of cell growth (GO:0001558)	422	250	174.25	+	1.43	7.65E-06	3.79E-04
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	14.86	-	 < 0.01	7.54E-06	3.76E-04
central nervous system neuron differentiation (GO:0021953)	183	128	75.56	+	1.69	7.57E-06	3.76E-04
movement of cell or subcellular component (GO:0006928)	1596	796	659.01	+	1.21	7.30E-06	3.65E-04
regulation of cellular response to stress (GO:0080135)	692	380	285.74	+	1.33	7.19E-06	3.61E-04
regulation of developmental growth (GO:0048638)	320	199	132.13	+	1.51	7.00E-06	3.52E-04
covalent chromatin modification (GO:0016569)	367	223	151.54	+	1.47	6.94E-06	3.51E-04
macromolecule biosynthetic process (GO:0009059)	1680	834	693.70	+	1.20	6.82E-06	3.46E-04
negative regulation of apoptotic process (GO:0043066)	895	476	369.56	+	1.29	6.57E-06	3.34E-04
regulation of canonical Wnt signaling pathway (GO:0060828)	298	189	123.05	+	1.54	5.64E-06	2.88E-04
protein phosphorylation (GO:0006468)	685	378	282.85	+	1.34	5.58E-06	2.86E-04
positive regulation of transferase activity (GO:0051347)	693	382	286.15	+	1.33	5.33E-06	2.74E-04
negative regulation of cell death (GO:0060548)	1008	530	416.22	+	1.27	5.20E-06	2.68E-04
regulation of cell junction assembly (GO:1901888)	202	139	83.41	+	1.67	4.81E-06	2.48E-04
skeletal system development (GO:0001501)	479	280	197.79	+	1.42	4.63E-06	2.40E-04
negative regulation of programmed cell death (GO:0043069)	914	487	377.41	+	1.29	4.60E-06	2.39E-04
organic cyclic compound biosynthetic process (GO:1901362)	1196	617	493.85	+	1.25	4.44E-06	2.32E-04
protein transport (GO:0015031)	1300	665	536.79	+	1.24	4.21E-06	2.20E-04
regulation of neuron differentiation (GO:0045664)	193	135	79.69	+	1.69	4.10E-06	2.15E-04
response to oxygen-containing compound (GO:1901700)	1604	803	662.32	+	1.21	4.00E-06	2.11E-04
phagocytosis, engulfment (GO:0006911)	132	20	54.50	-	.37	3.93E-06	2.08E-04
regulation of synapse structure or activity (GO:0050803)	221	150	91.25	+	1.64	3.84E-06	2.04E-04
response to nitrogen compound (GO:1901698)	1101	575	454.62	+	1.26	3.30E-06	1.76E-04
blood vessel morphogenesis (GO:0048514)	410	247	169.30	+	1.46	3.24E-06	1.73E-04
regulation of synapse organization (GO:0050807)	210	145	86.71	+	1.67	3.09E-06	1.66E-04
tissue development (GO:0009888)	1729	861	713.93	+	1.21	3.09E-06	1.66E-04
regulation of cellular protein localization (GO:1903827)	561	321	231.65	+	1.39	3.03E-06	1.63E-04
positive regulation of catalytic activity (GO:0043085)	1240	640	512.02	+	1.25	2.99E-06	1.62E-04
aromatic compound biosynthetic process (GO:0019438)	1060	557	437.69	+	1.27	2.94E-06	1.60E-04
establishment of localization in cell (GO:0051649)	2335	1132	964.16	+	1.17	2.91E-06	1.58E-04
regulation of cell motility (GO:2000145)	954	508	393.92	+	1.29	2.66E-06	1.45E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	118	187.88	-	.63	2.60E-06	1.43E-04
immune response-activating signal transduction (GO:0002757)	455	118	187.88	-	.63	2.60E-06	1.43E-04
epithelial tube morphogenesis (GO:0060562)	309	197	127.59	+	1.54	2.57E-06	1.42E-04
response to abiotic stimulus (GO:0009628)	1175	611	485.18	+	1.26	2.55E-06	1.42E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	525	657.77	-	.80	2.39E-06	1.33E-04
heterocycle biosynthetic process (GO:0018130)	1049	553	433.15	+	1.28	2.32E-06	1.29E-04
renal system development (GO:0072001)	291	188	120.16	+	1.56	2.26E-06	1.26E-04
axon guidance (GO:0007411)	277	181	114.38	+	1.58	2.21E-06	1.24E-04
antimicrobial humoral response (GO:0019730)	154	25	63.59	-	.39	2.05E-06	1.16E-04
positive regulation of nervous system development (GO:0051962)	274	180	113.14	+	1.59	1.99E-06	1.13E-04
transport (GO:0006810)	4476	2067	1848.21	+	1.12	1.98E-06	1.13E-04
regulation of apoptotic process (GO:0042981)	1493	758	616.48	+	1.23	1.97E-06	1.12E-04
neuron projection guidance (GO:0097485)	278	182	114.79	+	1.59	1.81E-06	1.04E-04
regulation of mitotic cell cycle (GO:0007346)	588	337	242.79	+	1.39	1.70E-06	9.76E-05
sensory organ development (GO:0007423)	555	321	229.17	+	1.40	1.59E-06	9.14E-05
regulation of protein kinase activity (GO:0045859)	802	440	331.16	+	1.33	1.42E-06	8.24E-05
nervous system process (GO:0050877)	1416	456	584.69	-	.78	1.31E-06	7.60E-05
heart development (GO:0007507)	535	312	220.91	+	1.41	1.29E-06	7.54E-05
positive regulation of multicellular organismal process (GO:0051240)	1431	733	590.88	+	1.24	1.13E-06	6.59E-05
cellular response to chemical stimulus (GO:0070887)	2914	1395	1203.24	+	1.16	1.05E-06	6.17E-05
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	17.34	-	 < 0.01	1.05E-06	6.16E-05
regulation of locomotion (GO:0040012)	997	533	411.68	+	1.29	1.03E-06	6.12E-05
cell-cell signaling by wnt (GO:0198738)	350	221	144.52	+	1.53	9.76E-07	5.82E-05
Wnt signaling pathway (GO:0016055)	350	221	144.52	+	1.53	9.76E-07	5.80E-05
morphogenesis of an epithelium (GO:0002009)	441	267	182.10	+	1.47	9.21E-07	5.51E-05
regulation of programmed cell death (GO:0043067)	1532	780	632.59	+	1.23	8.99E-07	5.40E-05
regulation of cell death (GO:0010941)	1668	843	688.74	+	1.22	7.86E-07	4.74E-05
establishment of localization (GO:0051234)	4631	2143	1912.21	+	1.12	7.16E-07	4.33E-05
establishment of protein localization (GO:0045184)	1397	720	576.84	+	1.25	6.82E-07	4.16E-05
chromosome organization (GO:0051276)	1064	567	439.34	+	1.29	6.84E-07	4.16E-05
immune system process (GO:0002376)	2903	1014	1198.69	-	.85	6.74E-07	4.13E-05
urogenital system development (GO:0001655)	324	209	133.78	+	1.56	6.67E-07	4.10E-05
nucleobase-containing compound biosynthetic process (GO:0034654)	975	526	402.59	+	1.31	6.04E-07	3.73E-05
cellular response to growth factor stimulus (GO:0071363)	497	297	205.22	+	1.45	5.77E-07	3.57E-05
regulation of cellular component movement (GO:0051270)	1032	553	426.13	+	1.30	5.58E-07	3.47E-05
nucleic acid metabolic process (GO:0090304)	2217	1092	915.43	+	1.19	5.24E-07	3.27E-05
chromatin organization (GO:0006325)	703	398	290.28	+	1.37	4.58E-07	2.89E-05
behavior (GO:0007610)	557	327	229.99	+	1.42	4.57E-07	2.89E-05
response to organonitrogen compound (GO:0010243)	1014	545	418.70	+	1.30	4.59E-07	2.88E-05
phosphorylation (GO:0016310)	877	481	362.13	+	1.33	4.44E-07	2.82E-05
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	259	173.42	+	1.49	4.38E-07	2.79E-05
positive regulation of immune response (GO:0050778)	747	211	308.45	-	.68	4.00E-07	2.56E-05
organic cyclic compound metabolic process (GO:1901360)	3182	1521	1313.90	+	1.16	3.78E-07	2.43E-05
tissue morphogenesis (GO:0048729)	545	322	225.04	+	1.43	3.56E-07	2.29E-05
activation of immune response (GO:0002253)	530	137	218.85	-	.63	3.40E-07	2.20E-05
heterocycle metabolic process (GO:0046483)	2891	1394	1193.74	+	1.17	3.18E-07	2.08E-05
peptide cross-linking (GO:0018149)	102	10	42.12	-	.24	3.19E-07	2.07E-05
regulation of Wnt signaling pathway (GO:0030111)	377	239	155.67	+	1.54	2.99E-07	1.96E-05
embryonic organ development (GO:0048568)	435	268	179.62	+	1.49	2.83E-07	1.87E-05
regulation of cellular localization (GO:0060341)	841	466	347.26	+	1.34	2.72E-07	1.80E-05
response to biotic stimulus (GO:0009607)	1547	496	638.78	-	.78	2.58E-07	1.72E-05
embryo development ending in birth or egg hatching (GO:0009792)	633	367	261.38	+	1.40	2.26E-07	1.51E-05
cell junction organization (GO:0034330)	502	303	207.28	+	1.46	1.98E-07	1.33E-05
response to bacterium (GO:0009617)	721	200	297.71	-	.67	1.96E-07	1.32E-05
gland development (GO:0048732)	414	259	170.95	+	1.52	1.93E-07	1.30E-05
response to growth factor (GO:0070848)	526	315	217.19	+	1.45	1.92E-07	1.30E-05
blood vessel development (GO:0001568)	492	298	203.15	+	1.47	1.91E-07	1.30E-05
chordate embryonic development (GO:0043009)	613	358	253.12	+	1.41	1.84E-07	1.26E-05
regulation of kinase activity (GO:0043549)	914	503	377.41	+	1.33	1.80E-07	1.24E-05
positive regulation of transport (GO:0051050)	947	519	391.03	+	1.33	1.51E-07	1.04E-05
regulation of protein phosphorylation (GO:0001932)	1218	647	502.93	+	1.29	1.37E-07	9.47E-06
positive regulation of protein modification process (GO:0031401)	1079	582	445.54	+	1.31	1.26E-07	8.79E-06
peptidyl-amino acid modification (GO:0018193)	886	491	365.84	+	1.34	1.23E-07	8.61E-06
cellular response to organic substance (GO:0071310)	2344	1159	967.87	+	1.20	1.21E-07	8.52E-06
cellular aromatic compound metabolic process (GO:0006725)	2937	1422	1212.73	+	1.17	1.20E-07	8.45E-06
vasculature development (GO:0001944)	514	312	212.24	+	1.47	9.64E-08	6.83E-06
negative regulation of response to stimulus (GO:0048585)	1831	930	756.05	+	1.23	8.89E-08	6.33E-06
cell fate commitment (GO:0045165)	238	170	98.27	+	1.73	8.69E-08	6.21E-06
regulation of cell development (GO:0060284)	500	305	206.46	+	1.48	8.40E-08	6.06E-06
cellular nitrogen compound metabolic process (GO:0034641)	3395	1626	1401.85	+	1.16	8.41E-08	6.05E-06
enzyme linked receptor protein signaling pathway (GO:0007167)	723	415	298.54	+	1.39	8.13E-08	5.89E-06
phosphate-containing compound metabolic process (GO:0006796)	1808	921	746.55	+	1.23	7.58E-08	5.52E-06
regionalization (GO:0003002)	317	212	130.89	+	1.62	7.49E-08	5.48E-06
regulation of cell population proliferation (GO:0042127)	1654	851	682.96	+	1.25	7.37E-08	5.42E-06
regulation of cellular catabolic process (GO:0031329)	899	500	371.21	+	1.35	6.66E-08	4.92E-06
regulation of neurogenesis (GO:0050767)	364	237	150.30	+	1.58	6.18E-08	4.59E-06
regulation of growth (GO:0040008)	661	387	272.94	+	1.42	5.20E-08	3.88E-06
phosphorus metabolic process (GO:0006793)	1835	936	757.70	+	1.24	4.46E-08	3.34E-06
epidermal cell differentiation (GO:0009913)	322	67	132.96	-	.50	4.37E-08	3.29E-06
cellular response to endogenous stimulus (GO:0071495)	1152	622	475.68	+	1.31	4.35E-08	3.29E-06
regulation of catalytic activity (GO:0050790)	2433	1206	1004.62	+	1.20	3.85E-08	2.93E-06
cellular component biogenesis (GO:0044085)	2754	1349	1137.17	+	1.19	3.75E-08	2.87E-06
response to external biotic stimulus (GO:0043207)	1426	443	588.82	-	.75	3.76E-08	2.87E-06
regulation of phosphate metabolic process (GO:0019220)	1578	820	651.58	+	1.26	3.53E-08	2.74E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	820	651.58	+	1.26	3.53E-08	2.72E-06
regulation of transferase activity (GO:0051338)	1033	567	426.54	+	1.33	3.36E-08	2.61E-06
production of molecular mediator of immune response (GO:0002440)	141	17	58.22	-	.29	3.22E-08	2.52E-06
response to other organism (GO:0051707)	1425	442	588.40	-	.75	3.19E-08	2.51E-06
nucleobase-containing compound metabolic process (GO:0006139)	2705	1329	1116.94	+	1.19	2.99E-08	2.36E-06
cellular biosynthetic process (GO:0044249)	2715	1334	1121.07	+	1.19	2.82E-08	2.24E-06
organic substance biosynthetic process (GO:1901576)	2803	1373	1157.40	+	1.19	2.78E-08	2.22E-06
pattern specification process (GO:0007389)	426	272	175.90	+	1.55	2.40E-08	1.93E-06
cellular component assembly (GO:0022607)	2494	1237	1029.81	+	1.20	2.22E-08	1.79E-06
cell-cell signaling (GO:0007267)	1131	615	467.01	+	1.32	2.18E-08	1.78E-06
immunoglobulin production (GO:0002377)	138	16	56.98	-	.28	2.19E-08	1.77E-06
regulation of cell cycle (GO:0051726)	1164	631	480.63	+	1.31	2.06E-08	1.69E-06
regulation of organelle organization (GO:0033043)	1208	652	498.80	+	1.31	1.91E-08	1.59E-06
axonogenesis (GO:0007409)	385	252	158.97	+	1.59	1.92E-08	1.59E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	50	111.07	-	.45	1.92E-08	1.58E-06
embryonic morphogenesis (GO:0048598)	570	346	235.36	+	1.47	1.82E-08	1.52E-06
regulation of phosphorylation (GO:0042325)	1391	739	574.37	+	1.29	1.40E-08	1.18E-06
modulation of chemical synaptic transmission (GO:0050804)	431	277	177.97	+	1.56	1.13E-08	9.53E-07
forebrain development (GO:0030900)	387	255	159.80	+	1.60	1.00E-08	8.49E-07
negative regulation of cell differentiation (GO:0045596)	644	385	265.92	+	1.45	9.52E-09	8.13E-07
regulation of trans-synaptic signaling (GO:0099177)	432	278	178.38	+	1.56	9.32E-09	8.00E-07
positive regulation of signal transduction (GO:0009967)	1584	831	654.06	+	1.27	8.73E-09	7.54E-07
biosynthetic process (GO:0009058)	2865	1409	1183.00	+	1.19	8.57E-09	7.45E-07
axon development (GO:0061564)	421	273	173.84	+	1.57	8.03E-09	7.01E-07
positive regulation of cell differentiation (GO:0045597)	840	481	346.85	+	1.39	7.98E-09	7.00E-07
intracellular signal transduction (GO:0035556)	1677	875	692.46	+	1.26	6.88E-09	6.08E-07
phagocytosis, recognition (GO:0006910)	106	8	43.77	-	.18	5.90E-09	5.24E-07
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	291	187.05	+	1.56	5.80E-09	5.18E-07
regulation of nervous system development (GO:0051960)	443	286	182.92	+	1.56	5.23E-09	4.70E-07
positive regulation of molecular function (GO:0044093)	1618	850	668.10	+	1.27	4.64E-09	4.20E-07
cell morphogenesis involved in differentiation (GO:0000904)	559	346	230.82	+	1.50	3.94E-09	3.58E-07
regulation of cellular component biogenesis (GO:0044087)	974	550	402.18	+	1.37	2.83E-09	2.59E-07
regulation of catabolic process (GO:0009894)	1066	595	440.17	+	1.35	2.20E-09	2.02E-07
response to endogenous stimulus (GO:0009719)	1426	765	588.82	+	1.30	2.07E-09	1.93E-07
regulation of protein localization (GO:0032880)	894	513	369.15	+	1.39	2.08E-09	1.92E-07
multicellular organismal process (GO:0032501)	6926	3174	2859.85	+	1.11	1.99E-09	1.86E-07
positive regulation of cellular protein metabolic process (GO:0032270)	1474	788	608.64	+	1.29	1.95E-09	1.84E-07
regulation of anatomical structure morphogenesis (GO:0022603)	967	549	399.29	+	1.37	1.79E-09	1.69E-07
tube morphogenesis (GO:0035239)	654	397	270.05	+	1.47	1.34E-09	1.28E-07
cellular component morphogenesis (GO:0032989)	611	376	252.29	+	1.49	1.26E-09	1.20E-07
positive regulation of cellular component organization (GO:0051130)	1161	643	479.40	+	1.34	1.22E-09	1.18E-07
cellular protein localization (GO:0034613)	1470	788	606.99	+	1.30	1.22E-09	1.18E-07
regulation of intracellular signal transduction (GO:1902531)	1839	959	759.35	+	1.26	1.17E-09	1.14E-07
cellular response to stress (GO:0033554)	1741	915	718.89	+	1.27	9.58E-10	9.40E-08
regulation of humoral immune response (GO:0002920)	142	14	58.63	-	.24	9.00E-10	8.90E-08
regulation of neuron projection development (GO:0010975)	447	294	184.57	+	1.59	7.14E-10	7.10E-08
anatomical structure formation involved in morphogenesis (GO:0048646)	883	512	364.60	+	1.40	6.94E-10	6.94E-08
cellular macromolecule localization (GO:0070727)	1480	796	611.12	+	1.30	6.53E-10	6.57E-08
regulation of protein modification process (GO:0031399)	1654	877	682.96	+	1.28	6.31E-10	6.39E-08
response to organic substance (GO:0010033)	3008	1490	1242.05	+	1.20	6.01E-10	6.13E-08
opsonization (GO:0008228)	72	1	29.73	-	.03	4.42E-10	4.54E-08
cellular localization (GO:0051641)	2985	1482	1232.55	+	1.20	4.27E-10	4.41E-08
negative regulation of developmental process (GO:0051093)	879	513	362.95	+	1.41	3.69E-10	3.84E-08
regulation of cellular protein metabolic process (GO:0032268)	2501	1267	1032.70	+	1.23	3.34E-10	3.49E-08
cell morphogenesis (GO:0000902)	715	433	295.23	+	1.47	2.82E-10	2.97E-08
neuron projection morphogenesis (GO:0048812)	499	324	206.04	+	1.57	2.58E-10	2.73E-08
B cell receptor signaling pathway (GO:0050853)	129	10	53.27	-	.19	2.18E-10	2.33E-08
regulation of complement activation (GO:0030449)	118	8	48.72	-	.16	2.01E-10	2.17E-08
cell part morphogenesis (GO:0032990)	526	339	217.19	+	1.56	1.97E-10	2.13E-08
positive regulation of cell communication (GO:0010647)	1755	930	724.67	+	1.28	1.81E-10	1.98E-08
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	328	207.70	+	1.58	1.44E-10	1.59E-08
circulatory system development (GO:0072359)	877	516	362.13	+	1.42	1.39E-10	1.54E-08
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	394	260.55	+	1.51	1.35E-10	1.50E-08
positive regulation of signaling (GO:0023056)	1761	935	727.14	+	1.29	1.26E-10	1.41E-08
positive regulation of protein metabolic process (GO:0051247)	1562	843	644.97	+	1.31	1.15E-10	1.30E-08
regulation of cell projection organization (GO:0031344)	648	403	267.57	+	1.51	1.14E-10	1.29E-08
regulation of response to stimulus (GO:0048583)	4306	2073	1778.02	+	1.17	1.10E-10	1.26E-08
cell projection morphogenesis (GO:0048858)	507	331	209.35	+	1.58	1.04E-10	1.20E-08
lymphocyte mediated immunity (GO:0002449)	259	39	106.95	-	.36	5.56E-11	6.47E-09
protein metabolic process (GO:0019538)	4203	2035	1735.48	+	1.17	4.14E-11	4.84E-09
defense response (GO:0006952)	1426	416	588.82	-	.71	4.02E-11	4.74E-09
macromolecule localization (GO:0033036)	2496	1278	1030.64	+	1.24	3.49E-11	4.15E-09
neuron projection development (GO:0031175)	691	429	285.32	+	1.50	2.86E-11	3.42E-09
plasma membrane bounded cell projection organization (GO:0120036)	1175	668	485.18	+	1.38	1.97E-11	2.37E-09
organonitrogen compound metabolic process (GO:1901564)	5246	2494	2166.16	+	1.15	1.74E-11	2.11E-09
macromolecule modification (GO:0043412)	3211	1603	1325.87	+	1.21	1.65E-11	2.02E-09
regulation of multicellular organismal development (GO:2000026)	1332	745	550.00	+	1.35	1.27E-11	1.57E-09
regulation of protein metabolic process (GO:0051246)	2665	1360	1100.42	+	1.24	1.19E-11	1.48E-09
keratinocyte differentiation (GO:0030216)	270	40	111.49	-	.36	1.01E-11	1.26E-09
regulation of molecular function (GO:0065009)	3118	1565	1287.47	+	1.22	9.76E-12	1.23E-09
innate immune response (GO:0045087)	848	214	350.15	-	.61	8.46E-12	1.08E-09
tube development (GO:0035295)	856	517	353.46	+	1.46	6.88E-12	8.85E-10
cell projection organization (GO:0030030)	1221	695	504.17	+	1.38	6.20E-12	8.03E-10
cellular protein modification process (GO:0006464)	2985	1509	1232.55	+	1.22	4.96E-12	6.54E-10
protein modification process (GO:0036211)	2985	1509	1232.55	+	1.22	4.96E-12	6.48E-10
organelle organization (GO:0006996)	3567	1769	1472.87	+	1.20	4.65E-12	6.18E-10
B cell mediated immunity (GO:0019724)	205	23	84.65	-	.27	3.98E-12	5.33E-10
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	544	374.10	+	1.45	3.62E-12	4.89E-10
animal organ morphogenesis (GO:0009887)	956	569	394.75	+	1.44	3.39E-12	4.62E-10
protein localization (GO:0008104)	2063	1093	851.85	+	1.28	3.12E-12	4.29E-10
positive regulation of developmental process (GO:0051094)	1271	722	524.82	+	1.38	2.95E-12	4.09E-10
localization (GO:0051179)	5831	2760	2407.71	+	1.15	2.38E-12	3.33E-10
neuron development (GO:0048666)	846	516	349.33	+	1.48	1.95E-12	2.76E-10
embryo development (GO:0009790)	991	589	409.20	+	1.44	1.52E-12	2.16E-10
immunoglobulin mediated immune response (GO:0016064)	201	21	83.00	-	.25	1.11E-12	1.60E-10
defense response to other organism (GO:0098542)	1038	271	428.61	-	.63	9.12E-13	1.32E-10
negative regulation of signal transduction (GO:0009968)	1305	743	538.86	+	1.38	9.03E-13	1.32E-10
regulation of transport (GO:0051049)	1772	966	731.69	+	1.32	5.74E-13	8.48E-11
cellular protein metabolic process (GO:0044267)	3590	1793	1482.37	+	1.21	5.01E-13	7.47E-11
brain development (GO:0007420)	759	479	313.40	+	1.53	3.42E-13	5.15E-11
negative regulation of cell communication (GO:0010648)	1401	800	578.49	+	1.38	6.48E-14	9.85E-12
negative regulation of signaling (GO:0023057)	1405	803	580.15	+	1.38	4.87E-14	7.47E-12
head development (GO:0060322)	803	508	331.57	+	1.53	4.40E-14	6.81E-12
cell development (GO:0048468)	1646	919	679.66	+	1.35	4.00E-14	6.26E-12
animal organ development (GO:0048513)	3220	1646	1329.59	+	1.24	2.16E-14	3.42E-12
cell differentiation (GO:0030154)	3575	1809	1476.17	+	1.23	9.96E-15	1.59E-12
regulation of cell differentiation (GO:0045595)	1586	897	654.88	+	1.37	8.13E-15	1.31E-12
negative regulation of RNA biosynthetic process (GO:1902679)	1301	761	537.20	+	1.42	7.20E-15	1.17E-12
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	760	536.38	+	1.42	6.92E-15	1.14E-12
negative regulation of transcription, DNA-templated (GO:0045892)	1297	759	535.55	+	1.42	6.67E-15	1.11E-12
keratinization (GO:0031424)	227	22	93.73	-	.23	5.55E-15	9.33E-13
defense response to bacterium (GO:0042742)	350	51	144.52	-	.35	4.11E-15	6.99E-13
regulation of multicellular organismal process (GO:0051239)	2673	1408	1103.72	+	1.28	3.30E-15	5.67E-13
macromolecule metabolic process (GO:0043170)	6151	2943	2539.84	+	1.16	3.09E-15	5.37E-13
cellular developmental process (GO:0048869)	3634	1844	1500.54	+	1.23	2.37E-15	4.16E-13
negative regulation of RNA metabolic process (GO:0051253)	1408	821	581.39	+	1.41	8.91E-16	1.58E-13
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	881	630.94	+	1.40	5.02E-16	9.12E-14
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1512	1189.20	+	1.27	5.03E-16	9.03E-14
negative regulation of metabolic process (GO:0009892)	3095	1612	1277.97	+	1.26	3.22E-16	5.91E-14
central nervous system development (GO:0007417)	1000	624	412.92	+	1.51	3.04E-16	5.66E-14
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	897	640.43	+	1.40	1.44E-16	2.70E-14
organic substance metabolic process (GO:0071704)	7840	3684	3237.26	+	1.14	9.97E-17	1.90E-14
negative regulation of cellular metabolic process (GO:0031324)	2613	1398	1078.95	+	1.30	9.41E-17	1.81E-14
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	894	635.89	+	1.41	8.05E-17	1.57E-14
negative regulation of biosynthetic process (GO:0009890)	1643	944	678.42	+	1.39	6.75E-17	1.33E-14
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	1326	1012.88	+	1.31	5.72E-17	1.15E-14
negative regulation of cellular biosynthetic process (GO:0031327)	1610	929	664.79	+	1.40	5.43E-17	1.10E-14
neuron differentiation (GO:0030182)	1043	652	430.67	+	1.51	4.62E-17	9.49E-15
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	7	68.13	-	.10	3.82E-17	7.94E-15
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	737	500.45	+	1.47	3.43E-17	7.22E-15
nitrogen compound metabolic process (GO:0006807)	6886	3289	2843.34	+	1.16	2.29E-17	4.90E-15
complement activation, classical pathway (GO:0006958)	161	6	66.48	-	.09	2.23E-17	4.82E-15
regulation of biological quality (GO:0065008)	3995	2040	1649.60	+	1.24	3.72E-18	8.17E-16
